Golfer,Points,Count,WinOdds,Group,WinOdds_prob
Abraham Ancer,0,1,7000,2,0.014084507042253521
Adam Scott,40050,15,5000,4,0.0196078431372549
Billy Horschel,55500,2,7000,3,0.014084507042253521
Brian Harman,0,10,15000,6,0.006622516556291391
Brooks Koepka,0,19,1800,1,0.05263157894736842
Bryson DeChambeau,0,1,3500,1,0.027777777777777776
Bubba Watson,63000,19,7000,6,0.014084507042253521
Cameron Champ,390000,12,15000,5,0.006622516556291391
Cameron Davis,46500,3,25000,5,0.00398406374501992
Cameron Smith,870000,49,1400,3,0.06666666666666667
Collin Morikawa,600000,8,2000,1,0.047619047619047616
Corey Conners,521250,6,5500,3,0.017857142857142856
Daniel Berger,37350,4,3500,2,0.027777777777777776
Dustin Johnson,330000,14,1600,1,0.058823529411764705
Erik Van Rooyen,0,2,20000,6,0.004975124378109453
Gary Woodland,0,18,13000,6,0.007633587786259542
Hideki Matsuyama,225333,4,2500,2,0.038461538461538464
Joaquin Niemann,75563,6,6500,3,0.015151515151515152
Jon Rahm,111000,31,850,1,0.10526315789473684
Jordan Spieth,0,13,1800,1,0.05263157894736842
Justin Rose,0,12,7000,4,0.014084507042253521
Justin Thomas,450000,33,1400,1,0.06666666666666667
Kevin Kisner,51000,9,15000,4,0.006622516556291391
K.H. Lee,0,3,25000,5,0.00398406374501992
Louis Oosthuizen,0,7,4500,2,0.021739130434782608
Lucas Herbert,0,2,20000,5,0.004975124378109453
Mackenzie Hughes,37350,3,18000,6,0.0055248618784530384
Marc Leishman,93150,14,5000,4,0.0196078431372549
Matthew Fitzpatrick,225333,2,5000,3,0.0196078431372549
Matthew Wolff,0,1,13000,3,0.007633587786259542
Max Homa,40050,7,7000,4,0.014084507042253521
Patrick Cantlay,63000,6,2500,1,0.038461538461538464
Patrick Reed,75563,4,6500,2,0.015151515151515152
Paul Casey,0,2,5000,3,0.0196078431372549
Rory McIlroy,1626000,3,1600,1,0.058823529411764705
Russell Henley,93150,24,3500,6,0.027777777777777776
Sam Burns,0,5,5000,2,0.0196078431372549
Scottie Scheffler,2715000,50,1200,2,0.07692307692307693
Sergio Garcia,138000,1,7000,4,0.014084507042253521
Shane Lowry,870000,18,5500,4,0.017857142857142856
Si Woo Kim,63000,37,10000,5,0.009900990099009901
Sung Jae Im,450000,1,6500,3,0.015151515151515152
Talor Gooch,225333,20,13000,5,0.007633587786259542
Tiger Woods,43500,3,4000,NA,0.024390243902439025
Tom Hoge,63000,1,18000,NA,0.0055248618784530384
Tony Finau,75563,5,6500,2,0.015151515151515152
Tyrrell Hatton,36000,1,5000,3,0.0196078431372549
Viktor Hovland,111000,7,1800,1,0.05263157894736842
Will Zalatoris,521250,11,3500,3,0.027777777777777776
Xander Schauffele,0,6,2000,1,0.047619047619047616
Robert MacIntyre,0,0,7000,NA,0.014084507042253521
Tommy Fleetwood,0,0,8000,NA,0.012345679012345678
Webb Simpson,0,0,10000,2,0.009900990099009901
Thomas Pieters,0,0,13000,NA,0.007633587786259542
Seamus Power,0,0,13000,NA,0.007633587786259542
Christiaan Bezuidenhout,0,0,13000,NA,0.007633587786259542
Cameron Young,0,0,13000,NA,0.007633587786259542
Kevin Na,0,0,13000,3,0.007633587786259542
Jason Kokrak,0,0,13000,2,0.007633587786259542
Lee Westwood,0,0,15000,NA,0.006622516556291391
Harold Varner III,0,0,18000,NA,0.0055248618784530384
Ryan Palmer,0,0,18000,4,0.0055248618784530384
Luke List,0,0,18000,NA,0.0055248618784530384
Garrick Higgo,0,0,20000,NA,0.004975124378109453
Francesco Molinari,0,0,20000,NA,0.004975124378109453
Takumi Kanaya,0,0,20000,NA,0.004975124378109453
Danny Willett,0,0,20000,NA,0.004975124378109453
Guido Migliozzi,0,0,25000,NA,0.00398406374501992
Stewart Cink,0,0,25000,NA,0.00398406374501992
Zach Johnson,0,0,25000,NA,0.00398406374501992
Sepp Straka,0,0,25000,NA,0.00398406374501992
Padraig Harrington,0,0,25000,NA,0.00398406374501992
Min Woo Lee,0,0,25000,NA,0.00398406374501992
Lucas Glover,0,0,25000,NA,0.00398406374501992
Harry Higgs,0,0,30000,NA,0.0033222591362126247
Charl Schwartzel,0,0,30000,NA,0.0033222591362126247
Hudson Swafford,0,0,40000,NA,0.0024937655860349127
Fred Couples,0,0,100000,NA,9.99000999000999e-4
Vijay Singh,0,0,100000,NA,9.99000999000999e-4
Sandy Lyle,0,0,100000,NA,9.99000999000999e-4
Mike Weir,0,0,100000,NA,9.99000999000999e-4
Bernhard Langer,0,0,100000,NA,9.99000999000999e-4
Larry Mize,0,0,100000,NA,9.99000999000999e-4
Jose Maria Olazabal,0,0,100000,NA,9.99000999000999e-4
